LSOA01CD,LSOA01NM,LSOA01NM2,Local Authority Name,2005Overall index score,2005Rank Overall,2005Income Number (1),2005Income Percentage (2),2005Employment (revised) (3) Number (1),2005Employment (revised) (3) Percentage (2),2005Income Rank,2005Income Score,2005Employment Rank,2005Employment Score,2005Health Rank,2005Health Score,2005Health Rank,2005Health Score,2005Access to Services Rank,2005Access to Services Score,2005Housing Rank,2005Housing Score,2005Physical Environment Rank,2005Physical Environment Score,2005Access to food shop (1),2005Access to GP (2),2005Access to primary school (3),2005Access to secondary school (4),2005Access to dentist (5),2005Access to post office (6),2005Access to library (7),2005Access to leisure centre (8),2005KS2 average point score (1),2005KS3 average point score (2),2005KS4 average point score (3),2005Secondary school absence rates (4),2005Not in education (5),2005Low qualifications (6),2005Male ,2005Female ,2005Total Persons,2005Income Rank,2005Employment Rank (revised) (2),2005Health Rank,2005Education Rank,2005Access to services Rank,2005Housing Rank,2005Physical environment Rank,2005Overall Index Rank (revised) (1),2008Income ,2008Employment ,2008Health ,2008Education ,2008Access to services ,2008Housing ,2008Physical environment ,2008Community safety ,2008Overall Index ,2008Child Index - Income ,2008Child Index - Education ,2008Child Index - Health ,2008Child Index - Access to Services ,2008Child Index - Housing ,2008Child Index - Physical Environment ,2008Child Index - Community Safety ,2008Child Index,2011WIMD score,2011Employment score,2011Income score,2011Education score,2011Health score,2011Community Safety score,2011Access score,2011Enviroment score,2011Housing score,2011Child Index,2011Income domain_Child Index,2011Education domain_Child Index,2011Health domain_Child Index,2011Community Safety domain_Child Index,2011Enviroment domain_Child Index,2011Access to Services domain_Child Index,2011Housing domain_Child Index
W01001329,Abercarn 3,Caerphilly 014C,Caerphilly,19.8,828,249,16,161,18,875,17.5,614,25.4,634,24.6,674,23.3,1667,2.9,1020,14.0,879,17.4,100,100,100,100,100,100,100,100,76,100,43,8,40,37,751,791,1542,875,614,634,674,1667,1020,879,828,664,599,274,519,1360,1020,236,689,549,412,567,755,1472,986,236,689,551,22.4,26.4,21.4,25.3,26.7,20.6,7.5,27.9,14.0,19.0,23.7,21.2,14.6,20.6,27.9,5.8,14.8
W01001143,Abercynon 1,Rhondda Cynon Taf 012A,Rhondda Cynon Taf,23.4,666,240,16,159,17,903,16.8,654,24.0,477,30.9,452,32.1,583,26.5,970,15.2,1345,7.8,90,99,99,100,44,99,99,92,83,97,37,13,55,37,741,777,1518,903,654,477,452,583,970,1345,666,996,757,590,494,1043,970,803,1083,824,1016,383,1368,888,620,803,1083,956,19.1,20.0,17.6,24.1,25.2,16.3,13.5,7.9,15.2,17.1,19.4,23.5,6.5,16.3,7.9,17.1,25.1
W01001144,Abercynon 2,Rhondda Cynon Taf 012B,Rhondda Cynon Taf,61.3,39,693,40,359,34,93,64.4,32,81.4,74,68.5,71,69.2,1026,13.9,583,26.5,506,29.6,100,100,100,100,100,100,100,100,78,93,32,14,55,62,867,887,1754,93,32,74,71,1026,583,506,39,152,50,5,28,517,583,1744,692,43,125,26,292,650,613,1744,692,110,65.5,75.3,62.1,90.9,96.6,53.2,29.1,0.5,26.5,52.5,65.0,89.1,38.4,53.2,0.5,24.1,25.4
W01001145,Abercynon 3,Rhondda Cynon Taf 012C,Rhondda Cynon Taf,32.0,399,416,26,212,23,393,35.1,299,41.0,741,21.2,321,39.5,1195,10.5,570,27.0,513,29.3,100,100,100,100,98,100,100,100,82,103,33,14,55,49,775,852,1626,393,299,741,321,1195,570,513,399,419,320,397,213,1102,570,1027,676,352,727,223,709,1384,458,1027,676,604,35.7,41.3,28.5,60.1,46.5,35.1,12.3,0.6,27.0,28.2,21.1,64.0,28.3,35.1,0.6,7.1,31.8
W01001146,Abercynon 4,Rhondda Cynon Taf 012D,Rhondda Cynon Taf,18.4,915,192,13,155,17,1120,11.9,643,24.3,692,22.7,702,22.4,987,14.8,952,15.6,1453,6.0,100,100,100,100,96,100,100,100,83,105,42,12,55,35,708,781,1489,1120,643,692,702,987,952,1453,915,1110,777,787,768,1474,952,860,788,1037,1269,561,826,1437,1311,860,788,1198,15.6,22.2,14.7,15.6,12.5,25.8,5.7,6.6,15.6,15.7,14.4,16.1,27.1,25.8,6.6,6.3,8.4
W01001147,Aberdare East 1,Rhondda Cynon Taf 004A,Rhondda Cynon Taf,17.0,1010,266,15,169,17,973,15.1,672,23.4,1322,8.2,1257,9.3,726,21.6,1212,10.1,279,42.5,100,83,100,100,100,78,76,100,86,102,46,9,31,24,851,956,1808,973,672,1322,1257,726,1212,279,1010,957,790,1163,1234,702,1212,1150,1187,1123,1525,1175,488,1464,980,1150,1187,1421,14.8,20.0,12.3,10.4,12.5,5.1,22.4,20.8,10.1,11.3,5.8,12.5,22.7,5.1,20.8,5.9,14.9
W01001148,Aberdare East 2,Rhondda Cynon Taf 002A,Rhondda Cynon Taf,23.6,657,316,19,191,19,725,21.7,518,29.1,520,29.0,914,16.5,1667,2.9,720,21.8,161,53.8,100,100,100,100,100,100,100,100,82,98,43,9,31,31,825,873,1698,725,518,520,914,1667,720,161,657,727,601,430,790,1872,720,1149,290,703,791,817,72,1705,541,1149,290,519,23.4,31.9,24.8,18.9,21.4,42.3,0.3,25.1,21.8,29.0,26.2,19.1,60.9,42.3,25.1,2.4,28.2
W01001149,Aberdare East 3,Rhondda Cynon Taf 003A,Rhondda Cynon Taf,18.9,883,231,16,170,21,853,18.0,403,34.6,945,15.7,1532,4.8,1229,9.8,1415,6.6,585,26.4,78,100,100,100,100,100,100,100,82,114,50,9,31,24,662,749,1411,853,403,945,1532,1229,1415,585,883,782,368,1051,1270,1625,1415,1735,1218,960,882,1118,1076,1791,1609,1735,1218,1447,19.3,28.9,23.9,14.1,21.9,23.1,3.5,0.9,6.6,18.3,26.1,21.0,21.5,23.1,0.9,1.3,3.7
W01001150,Aberdare East 4,Rhondda Cynon Taf 003B,Rhondda Cynon Taf,41.4,199,375,23,218,22,491,30.3,314,40.0,1,100.0,792,19.7,1280,8.9,259,44.1,141,56.5,100,100,100,100,100,100,100,100,84,97,40,9,31,34,750,860,1610,491,314,1,792,1280,259,141,199,342,300,40,657,1845,259,870,201,252,496,725,836,1868,351,870,201,634,39.2,41.3,37.5,32.3,73.4,54.6,0.6,17.5,44.1,31.7,38.7,36.1,30.2,54.6,17.5,0.3,37.6
W01001151,Aberdare West/Llwydcoed 1,Rhondda Cynon Taf 003C,Rhondda Cynon Taf,18.0,938,195,12,172,18,1150,11.3,574,26.8,443,32.5,1316,8.3,965,15.3,1585,4.1,1081,12.7,61,96,100,100,100,100,88,100,85,104,44,9,29,22,754,806,1560,1150,574,443,1316,965,1585,1081,938,1365,793,542,1311,760,1585,1786,1217,1171,1369,1050,1522,1196,1747,1786,1217,1682,13.7,15.8,9.5,7.8,28.9,6.9,20.6,0.8,4.1,10.0,12.7,10.5,11.2,6.9,0.8,10.4,1.9
