LSOA01CD,LSOA01NM,LSOA01NM2,Local Authority Name,2005Overall index score,2005Rank Overall,2005Income Number (1),2005Income Percentage (2),2005Employment (revised) (3) Number (1),2005Employment (revised) (3) Percentage (2),2005Income Rank,2005Income Score,2005Employment Rank,2005Employment Score,2005Health Rank,2005Health Score,2005Health Rank,2005Health Score,2005Access to Services Rank,2005Access to Services Score,2005Housing Rank,2005Housing Score,2005Physical Environment Rank,2005Physical Environment Score,2005Access to food shop (1),2005Access to GP (2),2005Access to primary school (3),2005Access to secondary school (4),2005Access to dentist (5),2005Access to post office (6),2005Access to library (7),2005Access to leisure centre (8),2005KS2 average point score (1),2005KS3 average point score (2),2005KS4 average point score (3),2005Secondary school absence rates (4),2005Not in education (5),2005Low qualifications (6),2005Male ,2005Female ,2005Total Persons,2005Income Rank,2005Employment Rank (revised) (2),2005Health Rank,2005Education Rank,2005Access to services Rank,2005Housing Rank,2005Physical environment Rank,2005Overall Index Rank (revised) (1),2008Income ,2008Employment ,2008Health ,2008Education ,2008Access to services ,2008Housing ,2008Physical environment ,2008Community safety ,2008Overall Index ,2008Child Index - Income ,2008Child Index - Education ,2008Child Index - Health ,2008Child Index - Access to Services ,2008Child Index - Housing ,2008Child Index - Physical Environment ,2008Child Index - Community Safety ,2008Child Index,2011WIMD score,2011Employment score,2011Income score,2011Education score,2011Health score,2011Community Safety score,2011Access score,2011Enviroment score,2011Housing score,2011Child Index,2011Income domain_Child Index,2011Education domain_Child Index,2011Health domain_Child Index,2011Community Safety domain_Child Index,2011Enviroment domain_Child Index,2011Access to Services domain_Child Index,2011Housing domain_Child Index
W01001560,Llanbadoc,Monmouthshire 006C,Monmouthshire,10.5,1477,42,3,58,7,1856,0.5,1658,3.1,1797,1.2,1823,0.9,100,63.1,1257,9.3,182,51.4,15,34,32,15,55,35,33,1,91,118,62,7,16,23,719,606,1325,1856,1658,1797,1823,100,1257,182,1477,1843,1761,1339,1806,131,1257,460,1739,1523,1615,1853,1626,124,1351,460,1739,1426,10.2,1.7,1.9,1.9,5.1,5.7,57.9,35.6,9.3,12.9,3.4,1.4,7.3,5.7,35.6,59.0,7.7
W01000018,Llanbadrig,Isle of Anglesey 001C,Isle of Anglesey,21.9,735,262,20,129,18,660,23.8,629,24.8,989,14.7,1125,11.8,339,38.3,500,29.9,1312,8.4,89,83,83,33,96,95,94,0,85,104,44,10,38,26,635,689,1324,660,629,989,1125,339,500,1312,735,820,701,877,1004,882,500,896,960,880,832,923,597,287,373,896,960,670,18.7,20.0,20.4,20.3,11.8,9.2,17.3,20.6,29.9,21.8,17.2,26.8,11.5,9.2,20.6,41.9,36.3
W01000079,Llanbedr,Gwynedd 013C,Gwynedd,14.6,1166,123,12,57,10,1167,11.0,1251,9.4,1104,12.2,1518,5.1,174,52.3,613,25.4,1391,7.0,40,49,50,72,3,66,42,7,82,118,45,8,43,21,496,509,1005,1167,1251,1104,1518,174,613,1391,1166,1104,1268,1042,1514,180,613,1245,1788,1148,1388,1561,1311,202,547,1245,1788,1323,13.4,8.1,10.7,7.7,3.8,6.4,51.6,12.0,25.4,14.3,9.5,8.3,3.8,6.4,12.0,49.2,27.9
W01000204,Llanbedr Dyffryn Clwyd/Llangynhafal,Denbighshire 013B,Denbighshire,8.4,1627,71,5,55,6,1782,1.4,1711,2.3,1341,7.9,1769,1.6,164,53.5,1067,13.0,1880,0.2,4,33,62,92,41,44,11,48,90,111,59,8,18,16,758,815,1573,1782,1711,1341,1769,164,1067,1880,1627,1710,1784,1276,1785,209,1067,1758,1815,1653,1816,1730,1755,324,1373,1758,1815,1763,7.3,0.6,1.7,0.3,8.1,0.4,48.5,0.8,13.0,6.7,2.2,0.1,3.5,0.4,0.8,39.3,7.3
W01000019,Llanbedrgoch,Isle of Anglesey 005C,Isle of Anglesey,14.2,1183,227,14,105,13,1010,14.2,985,14.8,1135,11.6,1671,2.9,369,36.5,1253,9.4,1060,13.2,79,87,90,54,94,95,87,4,86,112,58,9,21,21,759,841,1600,1010,985,1135,1671,369,1253,1060,1183,1244,1267,1470,1573,403,1253,1456,1208,1457,1350,1534,1173,314,944,1456,1208,1383,12.4,10.0,7.2,11.4,13.6,8.4,34.6,9.4,9.4,15.1,7.5,18.2,14.0,8.4,9.4,40.0,15.8
W01000080,Llanbedrog & Abersoch,Gwynedd 014C,Gwynedd,14.1,1195,224,12,86,9,1170,10.9,1350,7.7,1106,12.2,1425,6.5,228,46.7,370,36.4,1719,2.2,53,30,95,17,91,87,0,0,86,109,52,10,32,26,893,949,1842,1170,1350,1106,1425,228,370,1719,1195,1145,1406,955,1391,45,370,1625,1167,966,1389,1445,1392,10,157,1625,1167,815,16.9,8.1,8.6,7.6,12.9,8.4,76.6,3.7,36.4,20.2,7.7,7.1,5.1,8.4,3.7,92.9,54.3
W01000081,Llanberis,Gwynedd 005B,Gwynedd,19.0,878,320,16,131,11,864,17.7,1134,11.6,584,26.5,1535,4.8,370,36.4,197,49.8,915,16.5,86,95,89,89,89,92,96,0,79,117,50,7,33,25,946,1020,1966,864,1134,584,1535,370,197,915,878,767,1126,835,1074,606,197,622,1164,893,1190,1020,1770,405,400,622,1164,1184,15.7,8.1,11.3,18.3,13.3,10.1,25.6,23.7,49.8,14.7,5.6,23.1,2.2,10.1,23.7,34.5,34.8
W01000674,Llanboidy,Carmarthenshire 009A,Carmarthenshire,16.4,1051,226,11,118,10,1251,9.4,1333,8.0,1699,2.5,1454,6.0,9,93.6,671,23.4,1526,4.9,6,0,25,1,0,18,0,0,83,105,54,7,24,28,1009,1007,2016,1251,1333,1699,1454,9,671,1526,1051,956,1269,1537,1413,6,671,1546,1864,917,950,1400,1725,8,601,1546,1864,798,16.8,6.1,11.9,6.9,4.7,0.3,95.8,4.1,23.4,20.2,13.3,6.9,5.7,0.3,4.1,94.3,25.8
W01001366,Llanbradach 1,Caerphilly 019A,Caerphilly,13.8,1211,153,10,112,11,1372,7.3,1173,10.9,1182,10.7,758,20.7,868,17.6,1194,10.5,237,45.9,67,100,100,100,100,100,100,100,84,102,37,10,44,28,780,783,1564,1372,1173,1182,758,868,1194,237,1211,1490,1053,1001,846,456,1194,290,1342,1114,1297,850,655,651,713,290,1342,989,17.5,17.8,14.9,19.0,7.7,6.3,31.9,41.7,10.5,22.4,20.2,20.4,27.0,6.3,41.7,24.1,22.0
W01001367,Llanbradach 2,Caerphilly 019B,Caerphilly,21.4,748,223,14,149,16,994,14.6,761,20.6,503,29.8,522,28.9,1667,2.9,564,27.2,275,42.8,100,100,100,100,100,100,100,100,82,94,39,11,44,35,775,775,1550,994,761,503,522,1667,564,275,748,806,722,477,529,1294,564,405,846,681,878,462,535,811,596,405,846,652,20.4,20.0,20.6,20.6,20.6,24.8,8.7,33.0,27.2,19.3,19.4,17.0,11.8,24.8,33.0,19.2,26.0
W01001368,Llanbradach 3,Caerphilly 019C,Caerphilly,28.0,506,379,25,189,20,396,35.0,438,32.8,640,24.4,592,26.2,1124,11.8,1408,6.8,323,39.4,100,100,100,100,100,100,95,100,87,96,36,11,44,35,718,772,1490,396,438,640,592,1124,1408,323,506,448,465,510,686,1429,1408,305,567,546,615,868,935,571,1289,305,567,696,29.8,31.9,36.9,27.5,44.5,25.5,6.4,26.5,6.8,25.9,33.8,27.1,13.9,25.5,26.5,27.0,8.8
W01000452,Llanbrynmair & Banwy,Powys 004B,Powys,15.8,1090,188,10,116,11,1365,7.5,1223,9.9,1822,0.9,1588,4.0,16,89.1,718,21.9,1050,13.4,12,0,33,0,0,35,0,0,83,109,56,7,17,27,971,930,1901,1365,1223,1822,1588,16,718,1050,1090,1203,1346,1645,1474,10,718,613,1801,990,1200,1560,1233,15,560,613,1801,811,17.1,8.1,7.6,9.6,3.4,2.3,92.9,21.5,21.9,20.5,7.5,10.5,11.4,2.3,21.5,89.7,27.4
W01001779,Llandaff 1,Cardiff 026A,Cardiff,3.2,1860,76,5,43,5,1737,2.0,1794,1.3,1687,2.7,1864,0.4,1335,8.0,1615,3.7,789,19.8,96,100,100,100,100,100,100,100,94,118,55,9,12,12,654,778,1432,1737,1794,1687,1864,1335,1615,789,1860,1781,1785,1614,1777,1321,1615,1091,1184,1871,1853,1734,1680,1272,1827,1091,1184,1876,4.1,2.9,0.9,0.3,4.4,11.8,8.2,18.6,3.7,3.8,0.3,0.1,3.8,11.8,18.6,9.1,0.9
W01001780,Llandaff 2,Cardiff 026B,Cardiff,6.8,1713,77,5,53,5,1765,1.6,1795,1.3,845,18.2,1847,0.6,1296,8.6,883,17.3,478,30.9,100,100,100,100,100,100,84,100,86,114,58,8,12,12,709,873,1582,1765,1795,845,1847,1296,883,478,1713,1831,1833,1278,1795,1375,883,244,1504,1773,1568,1803,1844,1446,1140,244,1504,1766,5.1,1.7,2.5,3.2,2.2,3.0,7.3,32.0,17.3,7.2,6.8,5.8,1.1,3.0,32.0,6.2,11.5
W01001781,Llandaff 3,Cardiff 026C,Cardiff,5.1,1791,123,8,84,9,1534,4.8,1387,7.1,1539,4.7,1863,0.4,1667,2.9,1277,9.0,1131,11.7,100,100,100,100,100,100,100,100,89,115,66,8,12,11,741,854,1595,1534,1387,1539,1863,1667,1277,1131,1791,1312,1593,1184,1728,1128,1277,209,1097,1560,1682,1577,1462,863,1544,209,1097,1621,9.7,12.1,7.3,0.5,8.9,13.2,11.8,29.8,9.0,8.6,4.7,0.3,10.4,13.2,29.8,17.8,4.7
W01001782,Llandaff 4,Cardiff 026D,Cardiff,3.5,1855,59,4,49,5,1812,1.0,1763,1.7,1603,3.8,1838,0.7,1667,2.9,1696,2.5,414,34.0,100,100,100,100,100,100,100,100,89,116,56,8,12,15,706,784,1491,1812,1763,1603,1838,1667,1696,414,1855,1792,1754,1508,1738,1162,1696,1065,1154,1855,1760,1680,1092,1208,1739,1065,1154,1778,4.8,2.9,1.3,1.8,5.8,8.3,11.1,21.6,2.5,5.0,1.3,1.7,6.4,8.3,21.6,10.2,2.0
W01001783,Llandaff 5,Cardiff 026E,Cardiff,2.7,1879,33,2,32,3,1883,0.2,1886,0.1,1758,1.7,1819,1.0,1403,6.8,1650,3.2,549,27.8,100,100,100,100,100,100,99,100,85,110,53,8,12,10,662,720,1382,1883,1886,1758,1819,1403,1650,549,1879,1865,1847,1891,1772,1571,1650,548,1699,1893,1706,1732,1801,1652,1675,548,1699,1870,2.2,0.6,1.2,1.4,0.0,2.2,4.3,17.1,3.2,2.7,1.4,2.1,0.9,2.2,17.1,3.1,2.8
W01001784,Llandaff 6,Cardiff 026F,Cardiff,5.6,1768,99,7,51,5,1632,3.4,1770,1.6,1501,5.3,1753,1.8,1263,9.2,1008,14.3,437,32.8,100,100,100,100,100,100,71,100,86,113,46,8,12,14,744,748,1492,1632,1770,1501,1753,1263,1008,437,1768,1567,1730,1784,1709,1600,1008,818,1075,1837,1537,1752,1788,1495,970,818,1075,1796,4.0,2.9,1.5,3.8,1.3,4.0,3.9,18.4,14.3,4.2,1.1,4.4,0.7,4.0,18.4,5.4,15.2
W01001785,Llandaff North 1,Cardiff 023A,Cardiff,34.9,324,435,34,135,20,163,53.6,500,29.9,581,26.6,381,35.8,1667,2.9,410,34.2,162,53.7,100,100,100,100,100,100,100,100,82,98,30,10,55,37,599,695,1294,163,500,581,381,1667,410,162,324,159,372,404,309,1467,410,196,464,260,146,342,980,1039,321,196,464,257,37.8,31.9,54.3,48.8,29.4,48.5,5.8,36.3,34.2,43.3,53.0,54.3,35.1,48.5,36.3,13.6,39.5
W01001786,Llandaff North 2,Cardiff 023B,Cardiff,19.5,847,235,16,99,11,877,17.4,1151,11.3,358,37.2,627,24.9,1667,2.9,434,33.0,746,21.0,100,100,100,100,100,100,100,100,78,101,37,9,55,28,701,760,1462,877,1151,358,627,1667,434,746,847,699,1123,107,557,1475,434,284,530,559,686,513,1298,1590,868,284,530,800,23.6,12.1,22.1,30.9,44.2,26.6,5.7,29.4,33.0,22.6,27.7,34.6,11.2,26.6,29.4,4.0,17.6
W01001787,Llandaff North 3,Cardiff 023C,Cardiff,31.0,430,362,25,137,16,422,33.6,747,21.0,302,40.8,219,47.6,1667,2.9,644,24.3,187,50.8,100,100,100,100,100,100,100,100,76,96,29,10,55,44,702,758,1460,422,747,302,219,1667,644,187,430,546,669,674,411,769,644,301,796,556,375,444,528,813,1092,301,796,428,30.6,26.4,31.6,40.8,35.8,23.9,20.4,36.7,24.3,32.6,32.6,43.2,40.7,23.9,36.7,19.1,12.5
W01001788,Llandaff North 4,Cardiff 023D,Cardiff,40.6,214,442,32,175,22,204,49.0,349,37.7,395,35.0,184,51.1,1667,2.9,177,51.9,107,61.8,100,100,100,100,100,100,100,100,83,88,26,10,55,45,677,726,1403,204,349,395,184,1667,177,107,214,167,395,419,162,1439,177,403,95,209,295,159,534,868,207,403,95,219,41.5,34.8,45.9,67.3,40.2,48.4,6.3,36.5,51.9,42.5,40.8,77.2,26.6,48.4,36.5,17.6,48.7
W01001789,Llandaff North 5,Cardiff 023E,Cardiff,10.1,1508,143,10,78,8,1389,7.1,1521,5.0,1298,8.6,926,16.2,1149,11.3,929,16.1,545,28.0,100,100,100,100,100,100,99,99,82,104,33,9,55,17,728,765,1494,1389,1521,1298,926,1149,929,545,1508,1315,1517,983,1157,1861,929,180,579,1382,1382,1057,1199,1365,873,180,579,1305,10.8,10.0,11.3,10.4,9.0,24.6,0.4,20.7,16.1,12.8,12.7,13.0,7.9,24.6,20.7,7.5,17.5
W01001790,Llandaff North 6,Cardiff 023F,Cardiff,24.2,637,298,24,91,12,468,31.3,1053,13.3,614,25.4,254,44.5,1667,2.9,462,31.6,1042,13.5,100,100,100,100,100,100,100,100,73,91,34,10,55,36,594,664,1258,468,1053,614,254,1667,462,1042,637,457,1037,714,280,1596,462,476,1043,640,343,293,587,1283,514,476,1043,408,22.6,17.8,31.2,43.3,10.8,14.7,3.9,16.6,31.6,30.4,39.4,46.0,22.6,14.7,16.6,8.9,29.3
W01000675,Llanddarog,Carmarthenshire 012A,Carmarthenshire,15.6,1098,184,10,122,11,1346,7.8,1150,11.3,1058,13.2,1475,5.7,57,72.9,1197,10.4,1601,3.8,0,0,44,50,12,57,0,0,86,110,46,8,14,26,870,932,1802,1346,1150,1058,1475,57,1197,1601,1098,1416,1121,967,1462,96,1197,1342,1846,1144,1581,1384,1118,71,1118,1342,1846,1222,14.2,10.0,6.9,5.3,14.1,1.3,63.8,11.4,10.4,14.4,4.9,5.1,10.9,1.3,11.4,69.2,12.0
W01000082,Llandderfel & Llanuwchllyn 1,Gwynedd 015C,Gwynedd,15.5,1107,92,9,53,8,1447,6.1,1547,4.6,1008,14.3,1540,4.7,53,74.0,315,39.9,1186,10.6,23,9,25,47,0,37,4,8,85,113,41,7,15,25,538,507,1045,1447,1547,1008,1540,53,315,1186,1107,1279,1525,1311,1516,32,315,776,1751,1041,1436,1645,1753,48,387,776,1751,1111,16.0,6.1,6.4,6.9,8.6,3.0,81.4,11.8,39.9,16.0,6.1,6.0,3.0,3.0,11.8,75.6,35.5
W01000083,Llandderfel & Llanuwchllyn 2,Gwynedd 015D,Gwynedd,10.4,1491,82,7,53,7,1644,3.2,1618,3.6,1743,1.9,1663,3.0,88,65.4,770,20.3,1362,7.5,0,33,40,48,0,40,3,27,86,102,63,7,15,25,650,609,1259,1644,1618,1743,1663,88,770,1362,1491,1523,1620,1818,1467,40,770,1251,1763,1319,1736,1567,1859,53,1020,1251,1763,1393,12.2,1.7,4.8,5.5,1.5,7.3,78.3,9.0,20.3,13.1,3.8,3.9,1.0,7.3,9.0,74.0,14.0
W01000153,Llanddulas,Conwy 009D,Conwy,10.6,1473,160,10,88,9,1351,7.7,1381,7.2,1706,2.4,1429,6.4,327,39.1,1145,11.4,733,21.4,71,52,82,100,88,82,40,88,85,107,48,8,32,22,751,830,1581,1351,1381,1706,1429,327,1145,733,1473,1197,1211,1485,1171,325,1145,298,1158,1177,1220,1075,959,460,790,298,1158,1046,12.6,12.1,8.1,3.8,4.8,16.4,39.2,26.2,11.4,12.8,8.2,1.9,11.2,16.4,26.2,31.7,19.8
W01000020,Llanddyfnan,Isle of Anglesey 002B,Isle of Anglesey,13.1,1263,116,9,73,9,1452,6.1,1390,7.0,1430,6.4,1624,3.5,134,57.5,295,41.3,1154,11.2,4,36,41,34,48,44,14,16,89,105,54,8,22,20,642,684,1326,1452,1390,1430,1624,134,295,1154,1263,1417,1492,1741,1703,159,295,1287,1577,1380,1707,1708,1569,161,338,1287,1577,1427,12.1,8.1,4.7,4.5,3.3,4.3,54.1,6.0,41.3,13.2,4.3,5.4,7.1,4.3,6.0,53.8,38.4
W01000676,Llandeilo 1,Carmarthenshire 004A,Carmarthenshire,10.2,1503,88,6,89,10,1695,2.6,1261,9.2,1343,7.8,1673,2.9,220,47.5,1065,13.1,1580,4.1,52,59,67,67,63,59,59,54,82,118,58,8,30,22,721,774,1495,1695,1261,1343,1673,220,1065,1580,1503,1615,1221,1721,1645,123,1065,1627,1647,1429,1625,1614,1799,135,828,1627,1647,1502,12.5,12.1,6.3,2.1,7.4,1.8,59.1,4.0,13.1,13.0,6.5,1.3,11.8,1.8,4.0,57.3,18.7
W01000677,Llandeilo 2,Carmarthenshire 004B,Carmarthenshire,20.9,771,344,23,126,16,487,30.5,738,21.3,880,17.3,990,14.7,1079,12.8,487,30.5,1367,7.4,99,99,100,100,100,100,99,100,78,95,43,8,30,25,674,796,1470,487,738,880,990,1079,487,1367,771,502,697,865,1088,1792,487,1400,871,850,653,904,668,1269,631,1400,871,866,16.8,20.0,21.1,9.2,22.8,10.6,1.3,10.7,30.5,15.4,13.7,9.4,29.2,10.6,10.7,9.1,24.8
W01000453,Llandinam,Powys 010B,Powys,13.2,1261,83,6,54,6,1705,2.4,1694,2.6,1685,2.7,1324,8.1,34,80.6,1219,10.0,388,35.4,0,14,28,13,1,31,0,1,86,100,50,9,28,27,728,705,1433,1705,1694,1685,1324,34,1219,388,1261,1597,1563,1679,1389,51,1219,881,1682,1329,1526,1665,1644,61,1404,881,1682,1315,12.7,4.4,4.1,9.2,3.9,2.1,74.6,15.8,10.0,15.0,6.2,6.5,8.5,2.1,15.8,71.8,6.8
W01001104,Llandough,The Vale of Glamorgan 004E,The Vale of Glamorgan,7.9,1660,123,6,100,8,1659,3.0,1482,5.6,1826,0.9,1731,2.1,849,18.1,1343,7.8,109,61.4,45,92,100,100,100,100,94,100,92,115,46,8,22,18,936,1015,1951,1659,1482,1826,1731,849,1343,109,1660,1640,1630,1586,1670,508,1343,872,1585,1710,1554,1772,814,1173,1222,872,1585,1644,8.1,6.1,2.5,3.3,6.6,5.3,29.5,21.8,7.8,9.4,2.6,2.6,25.8,5.3,21.8,10.9,10.0
W01000678,Llandovery 1,Carmarthenshire 002C,Carmarthenshire,19.7,831,227,15,102,12,934,16.0,1041,13.6,522,28.9,1217,10.1,194,50.1,1101,12.3,867,17.7,50,51,57,56,52,58,50,52,81,106,48,8,19,32,738,742,1480,934,1041,522,1217,194,1101,867,831,702,913,741,1223,77,1101,884,1651,723,949,1459,1838,93,1121,884,1651,1061,19.6,12.1,15.4,13.4,17.4,2.5,67.8,25.6,12.3,17.8,15.7,11.0,0.2,2.5,25.6,64.4,11.9
W01000679,Llandovery 2,Carmarthenshire 002D,Carmarthenshire,11.9,1373,178,13,63,8,1141,11.5,1523,5.0,1325,8.1,1294,8.7,503,29.8,776,20.2,623,25.0,94,92,92,99,98,97,97,97,77,110,48,8,19,33,697,714,1411,1141,1523,1325,1294,503,776,623,1373,1140,1286,1093,1159,1521,776,382,1171,1358,1529,1172,1175,1757,1122,382,1171,1594,11.3,6.1,10.5,11.6,14.0,7.0,5.0,38.8,20.2,9.8,6.3,11.1,11.3,7.0,38.8,1.7,11.9
W01001105,Llandow/Ewenny,The Vale of Glamorgan 001A,The Vale of Glamorgan,9.9,1526,157,6,100,6,1684,2.7,1687,2.7,1640,3.3,1837,0.7,143,56.2,1734,2.0,263,43.7,2,5,33,83,59,58,16,29,89,113,53,6,12,15,1308,1307,2615,1684,1687,1640,1837,143,1734,263,1526,1730,1673,1533,1856,222,1734,835,1818,1666,1630,1863,1664,227,1551,835,1818,1609,7.7,2.9,1.7,0.4,3.2,3.8,47.3,21.1,2.0,8.8,2.1,0.3,3.0,3.8,21.1,46.8,4.6
W01000205,Llandrillo,Denbighshire 016B,Denbighshire,14.1,1194,123,11,47,7,1267,9.1,1593,4.0,1349,7.7,1200,10.4,113,60.8,555,27.6,1070,13.0,0,20,78,0,0,81,20,0,84,97,53,7,28,31,543,575,1118,1267,1593,1349,1200,113,555,1070,1194,1259,1543,1512,1184,172,555,867,1702,1257,1425,1135,1194,189,799,867,1702,1200,13.4,6.1,7.1,11.4,5.1,2.9,52.5,24.7,27.6,16.6,7.9,11.7,16.2,2.9,24.7,50.6,19.5
W01000154,Llandrillo yn Rhos 1,Conwy 003A,Conwy,8.7,1605,132,9,56,7,1425,6.5,1586,4.1,548,27.9,1715,2.3,1047,13.4,1629,3.5,1819,1.0,98,98,100,100,100,100,98,100,86,107,64,9,16,17,656,789,1445,1425,1586,548,1715,1047,1629,1819,1605,1391,1399,858,1730,387,1629,1041,1384,1433,1749,1776,1031,458,962,1041,1384,1579,10.9,8.1,6.7,2.7,15.9,4.6,35.5,16.4,3.5,10.1,6.5,2.5,7.2,4.6,16.4,31.8,15.3
W01000155,Llandrillo yn Rhos 2,Conwy 004A,Conwy,9.3,1560,165,11,64,9,1258,9.3,1386,7.1,629,24.8,1771,1.6,1667,2.9,888,17.1,1684,2.7,100,100,100,100,100,100,100,100,82,115,68,9,16,19,628,859,1487,1258,1386,629,1771,1667,888,1684,1560,1247,1365,508,1694,997,888,1383,772,1345,1434,1640,86,512,1577,1383,772,858,13.3,14.0,12.8,2.4,23.1,14.1,14.5,9.5,17.1,19.3,12.2,2.0,55.0,14.1,9.5,29.4,4.2
W01000156,Llandrillo yn Rhos 3,Conwy 004B,Conwy,15.9,1084,260,18,85,13,792,19.7,1020,14.0,557,27.5,1583,4.1,1371,7.4,827,18.7,757,20.7,99,100,100,100,100,100,100,100,77,104,62,9,16,22,650,834,1484,792,1020,557,1583,1371,827,757,1084,757,1074,643,1685,913,827,1241,978,1087,1502,1706,738,577,1439,1241,978,1470,15.6,15.8,14.9,2.8,23.0,12.8,16.5,30.5,18.7,13.2,8.3,2.5,20.7,12.8,30.5,26.7,6.3
W01000157,Llandrillo yn Rhos 4,Conwy 004C,Conwy,24.6,622,356,28,115,19,310,40.2,568,27.1,1156,11.2,1346,7.8,1345,7.8,133,57.6,619,25.2,97,100,100,100,100,100,100,100,83,108,50,9,16,31,567,694,1260,310,568,1156,1346,1345,133,619,622,215,457,1080,1002,1011,133,810,121,422,491,1042,1240,1167,144,810,121,619,29.5,34.8,35.9,22.9,14.6,34.1,14.2,33.6,57.6,27.5,30.0,28.4,18.7,34.1,33.6,11.0,56.1
W01000158,Llandrillo yn Rhos 5,Conwy 004D,Conwy,8.2,1638,213,14,75,12,1034,13.7,1111,12.1,1605,3.8,1560,4.4,1667,2.9,1640,3.3,1813,1.0,100,100,100,100,100,100,100,100,81,96,63,9,16,19,675,859,1534,1034,1111,1605,1560,1667,1640,1813,1638,1222,1116,1480,1539,725,1640,1750,1200,1537,1339,1590,674,1138,1514,1750,1200,1543,9.0,12.1,9.2,2.6,4.8,10.7,21.7,1.3,3.3,10.5,9.1,1.4,26.8,10.7,1.3,11.6,5.1
W01000454,Llandrindod East/Llandrindod West,Powys 013A,Powys,23.4,664,275,24,136,22,459,31.8,332,38.8,930,16.1,1421,6.5,1667,2.9,332,38.8,1631,3.4,100,100,100,100,100,100,100,100,81,110,45,8,17,24,551,600,1151,459,332,930,1421,1667,332,1631,664,299,379,1067,1109,1778,332,1709,293,575,870,878,878,1727,306,1709,293,985,26.5,44.6,36.6,13.9,15.7,23.3,1.5,0.4,38.8,19.3,27.0,18.1,14.6,23.3,0.4,2.1,40.5
W01000455,Llandrindod North,Powys 013B,Powys,20.3,798,401,22,148,14,553,27.7,920,16.3,1200,10.4,576,26.8,548,27.9,1042,13.5,1534,4.8,85,61,99,100,100,99,65,99,74,97,34,8,57,29,873,964,1837,553,920,1200,576,548,1042,1534,798,754,732,1189,641,845,1042,1807,668,910,228,652,664,1359,843,1807,668,477,22.2,26.4,29.6,25.0,14.4,19.4,18.2,0.2,13.5,25.2,38.3,27.0,22.4,19.4,0.2,7.6,18.3
W01000456,Llandrindod South,Powys 013C,Powys,14.0,1199,296,14,191,17,996,14.6,691,22.7,1848,0.6,1404,6.8,549,27.8,1312,8.4,1333,8.0,95,97,98,98,98,97,97,97,75,108,47,8,27,21,989,1078,2067,996,691,1848,1404,549,1312,1333,1199,890,702,1554,1288,800,1312,1434,830,1138,1078,1241,474,563,1060,1434,830,1014,15.7,26.4,17.0,14.7,3.8,10.8,19.5,0.2,8.4,17.9,16.6,20.6,21.9,10.8,0.2,27.3,13.2
W01000457,Llandrinio,Powys 002B,Powys,9.8,1527,142,7,65,6,1567,4.3,1746,1.9,1631,3.4,1634,3.4,118,59.9,999,14.5,1165,11.0,0,14,62,16,16,54,6,0,87,118,47,7,34,24,977,958,1935,1567,1746,1631,1634,118,999,1165,1527,1592,1769,1522,1651,163,999,965,1754,1557,1641,1797,1606,166,906,965,1754,1506,8.8,1.7,3.4,4.1,1.8,1.1,53.6,13.1,14.5,10.5,3.2,2.2,3.7,1.1,13.1,53.2,16.7
W01000680,Llandybie 1,Carmarthenshire 011A,Carmarthenshire,11.2,1438,143,8,114,11,1519,5.0,1160,11.1,1168,11.0,1802,1.2,337,38.5,1775,1.5,561,27.4,57,87,78,88,89,87,85,69,90,119,61,9,30,18,861,942,1803,1519,1160,1168,1802,337,1775,561,1438,1549,1186,1283,1762,243,1775,964,1823,1468,1583,1761,1419,259,1714,964,1823,1576,10.2,6.1,4.9,2.1,11.6,0.8,45.4,21.1,1.5,10.5,6.2,1.8,6.8,0.8,21.1,44.1,2.3
W01000681,Llandybie 2,Carmarthenshire 011B,Carmarthenshire,24.4,628,414,21,241,21,589,26.3,407,34.4,906,16.7,1010,14.2,435,32.9,1403,6.8,808,19.2,85,94,93,93,96,94,94,50,82,105,43,8,30,37,955,1008,1963,589,407,906,1010,435,1403,808,628,636,530,680,926,797,1403,1053,1359,753,877,981,1211,495,1447,1053,1359,1114,21.3,28.9,22.3,19.9,21.5,10.8,19.6,11.8,6.8,17.7,19.6,18.9,12.4,10.8,11.8,30.1,6.1
W01000531,Llandyfriog,Ceredigion 010C,Ceredigion,17.2,995,259,14,146,14,1021,14.0,879,17.4,1197,10.4,1329,8.1,205,48.9,513,29.3,1552,4.6,30,39,58,74,43,73,37,42,89,102,43,9,31,24,881,960,1841,1021,879,1197,1329,205,513,1552,995,954,879,1054,1262,219,513,1445,1397,956,898,1334,456,246,482,1445,1397,771,17.8,15.8,13.5,14.6,12.7,4.7,47.6,12.9,29.3,19.7,11.4,16.7,25.2,4.7,12.9,45.1,30.7
W01000206,Llandyrnog,Denbighshire 013C,Denbighshire,11.3,1428,209,10,108,8,1381,7.2,1463,5.9,1627,3.5,1411,6.7,210,48.4,1027,13.9,804,19.4,59,20,69,81,57,68,16,52,87,108,42,8,24,21,1108,1053,2161,1381,1463,1627,1411,210,1027,804,1428,1426,1419,1457,1520,213,1027,272,1469,1305,1565,1532,1565,256,1253,272,1469,1396,11.4,8.1,6.3,3.6,9.9,2.5,48.1,9.4,13.9,9.8,4.6,2.3,6.4,2.5,9.4,44.3,9.4
